from,to,relationship
uvdl,cdu,1
uvdl,fh,2
lk,spd,1
lk,fh,2
nr,cdu,1
nr,fh,2
sw,linke,1
sw,fh,2
cs,fh,2
cl,fdp,1
cl,fhe,2
nr,cdu,1
nr,fhe,2
ks,fhe,2
lm,fhe,2
kd,fhe,2
ab,fhz,2
ab,die grünen,1
ft,fhz,2
am,fhz,2
agl,fhz,2
agl,fdp,1
er,fhz,2
rh,die grünen,1
rh,fhd,2
lk,spd,1
lk,fhd,2
cm,fhd,2
kp,fhd,2
rk,fhd,2
rk,cdu,1
cl,spd,1
cl,fhv,2
agl,fhv,2
agl,fdp,1
sb,fhv,2
ch,fhv,2
mw,fhv,2
os,spd,1
os,fhf,2
